code,description
S564,Traumatismo del tendón y músculo extensor de otro(s) dedo(s) a nivel del antebrazo
S565,Traumatismo de otro tendón y músculo extensor a nivel del antebrazo
S567,Traumatismo de múltiples tendones y músculos a nivel del antebrazo
S568,"Traumatismo de otros tendones y músculos y de los no especificados, a nivel del antebrazo"
S550,Traumatismo de la arteria cubital a nivel del antebrazo
S551,Traumatismo de la arteria radial a nivel del antebrazo
S552,Traumatismo de vena a nivel del antebrazo
S557,Traumatismo de múltiples vasos sanguíneos a nivel del antebrazo
S558,Traumatismo de otros vasos sanguíneos a nivel del antebrazo
S559,Traumatismo de vaso sanguíneo no especificado a nivel del antebrazo
B020,Encefalitis debida a herpes zoster (G05.1)
B021,Meningitis debida a herpes zoster (G02.0)
B022,Herpes zoster con otros compromisos del sistema nervioso
B023,Herpes zoster ocular
B027,Herpes zoster diseminado
B028,Herpes zoster con otras complicaciones
B010,Meningitis debida a varicela (G02.0)
B011,Encefalitis debida a varicela (G05.1)
B012,Neumonía debida a varicela (J17.1)
B018,Varicela con otras complicaciones
B019,Varicela sin complicaciones
B000,Eczema herpético
B001,Dermatitis vesicular herpética
B002,Gingivoestomatitis y faringoamigdalitis herpética
B003,Meningitis herpética (G02.0)
B004,Encefalitis herpética (G05.1)
B005,Oculopatía herpética
B007,Enfermedad herpética diseminada
B008,Otras formas de infecciones herpéticas
B009,"Infección debida al virus del herpes, no especificada"
S680,Amputación traumática del pulgar (completa) (parcial)
S681,Amputación traumática de otro dedo único (completa) (parcial)
S682,Amputación traumática de dos o más dedos solamente (completa) (parcial)
S683,Amputación traumática combinada (de parte) de dedo(s) con otras partes de la muñeca y de la mano
S684,Amputación traumática de la mano a nivel de la muñeca
S688,Amputación traumática de otras partes de la muñeca y de la mano
S689,"Amputación traumática de la muñeca y de la mano, nivel no especificado"
S670,Traumatismo por aplastamiento del pulgar y otro(s) dedo(s)
S678,Traumatismo por aplastamiento de otras partes y de las no especificadas de la muñeca y de la mano
S660,Traumatismo del tendón y músculo flexor largo del pulgar a nivel de la muñeca y de la mano
S661,Traumatismo del tendón y músculo flexor de otro dedo a nivel de la muñeca y de la mano
S662,Traumatismo del tendón y músculo extensor del pulgar a nivel de la muñeca y de la mano
S663,Traumatismo del tendón y músculo extensor de otro(s) dedo(s) a nivel de la muñeca y de la mano
S664,Traumatismo del músculo y tendón intrínseco del pulgar a nivel de la muñeca y de la mano
S665,Traumatismo del músculo y tendón intrínseco de otro(s) dedo(s) a nivel de la muñeca y de la mano
S666,Traumatismo de múltiples tendones y músculos flexores a nivel de la muñeca y de la mano
S667,Traumatismo de múltiples tendones y músculos extensores a nivel de la muñeca y de la mano
S668,Traumatismo de otros tendones y músculos a nivel de la muñeca y de la mano
S669,"Traumatismo de tendón y músculo no especificado, a nivel de la muñeca y de la mano"
S650,Traumatismo de la arteria cubital a nivel de la muñeca y de la mano
S651,Traumatismo de la arteria radial a nivel de la muñeca y de la mano
S652,Traumatismo del arco palmar superficial
S653,Traumatismo del arco palmar profundo
S654,Traumatismo de vaso(s) sanguíneo(s) del pulgar
S655,Traumatismo de vaso(s) sanguíneo(s) de otro dedo
S657,Traumatismo de múltiples vasos sanguíneos a nivel de la muñeca y de la mano
S658,Traumatismo de otros vasos sanguíneos a nivel de la muñeca y de la mano
S659,"Traumatismo de vaso sanguíneo no especificado, a nivel de la muñeca y de la mano"
S640,Traumatismo del nervio cubital a nivel de la muñeca y de la mano
S641,Traumatismo del nervio mediano a nivel de la muñeca y de la mano
S642,Traumatismo del nervio radial a nivel de la muñeca y de la mano
S643,Traumatismo del nervio digital del pulgar
S644,Traumatismo del nervio digital de otro dedo
S647,Traumatismo de múltiples nervios a nivel de la muñeca y de la mano
S648,Traumatismo de otros nervios a nivel de la muñeca y de la mano
S649,Traumatismo de nervio no especificado a nivel de la muñeca y de la mano
S630,Luxación de la muñeca
S631,Luxación de dedos de la mano
S632,Luxaciones múltiples de dedos de la mano
S633,Ruptura traumática de ligamentos de la muñeca y del carpo
S634,Ruptura traumática de ligamentos del dedo de la mano en la(s) articulación(es) metacarpofalángica e interfalángica
S635,Esguince y torcedura de la muñeca
S636,Esguinces y torceduras de dedo(s) de la mano
S637,Esguinces y torceduras de otras partes y de las no especificadas de la muñeca y de la mano
S620,Fractura del hueso escafoides [navicular] de la mano
S621,Fractura de otro(s) hueso(s) del carpo
S622,Fractura del primer metacarpiano
S623,Fractura de otros huesos metacarpianos
S624,Fracturas múltiples de huesos metacarpianos
S625,Fractura del pulgar
S626,Fractura de otro dedo de la mano
S627,Fracturas múltiples de los dedos de la mano
S628,Fractura de otras partes y de las no especificadas de la muñeca y de la mano
S797,Traumatismos múltiples de la cadera y del muslo
S798,Otros traumatismos especificados de la cadera y del muslo
S799,Traumatismo no especificado de la cadera y del muslo
S780,Amputación traumática de la articulación de la cadera
S781,Amputación traumática en algún nivel entre la cadera y la rodilla
S789,"Amputación traumática de cadera y muslo, nivel no especificado"
S770,Traumatismo por aplastamiento de la cadera
S771,Traumatismo por aplastamiento del muslo
S772,Traumatismo por aplastamiento de la cadera con el muslo
S760,Traumatismo del tendón y músculo de la cadera
S761,Traumatismo del tendón y músculo cuádriceps
S762,Traumatismo del tendón y músculo aductor mayor del muslo
S763,Traumatismo de tendón y músculo del grupo muscular posterior a nivel del muslo
S764,Traumatismo de otros tendones y músculos y los no especificados a nivel del muslo
S767,Traumatismo de múltiples tendones y músculos a nivel de la cadera y del muslo
S750,Traumatismo de la arteria femoral
S751,Traumatismo de la vena femoral a nivel de la cadera y del muslo
S752,Traumatismo de la gran vena safena a nivel de la cadera y del muslo
S757,Traumatismo de múltiples vasos sanguíneos a nivel de la cadera y del muslo
S758,Traumatismo de otros vasos sanguíneos a nivel de la cadera y del muslo
S759,Traumatismo de vaso sanguíneo no especificado a nivel de la cadera y del muslo
S740,Traumatismo del nervio ciático a nivel de la cadera y del muslo
S741,Traumatismo del nervio femorocutáneo a nivel de la cadera y del muslo
S742,Traumatismo del nervio sensorial cutáneo a nivel de la cadera y del muslo
S747,Traumatismo de nervios múltiples a nivel de la cadera y del muslo
S748,Traumatismo de otros nervios a nivel de la cadera y del muslo
S749,Traumatismo de nervio no especificado a nivel de la cadera y del muslo
S730,Luxación de la cadera
S731,Esguinces y torceduras de la cadera
S897,Traumatismos múltiples de la pierna
S898,"Otros traumatismos de la pierna, especificados"
S899,"Traumatismo de la pierna, no especificado"
S880,Amputación traumática a nivel de la rodilla
S881,Amputación traumática en algún nivel entre la rodilla y el tobillo
S889,"Amputación traumática de la pierna, nivel no especificado"
S870,Traumatismo por aplastamiento de la rodilla
S878,Traumatismo por aplastamiento de otras partes y de las no especificadas de la pierna
S860,Traumatismo del tendón de Aquiles
S861,Traumatismo de otro(s) tendón(es) y músculo(s) del grupo muscular posterior a nivel de la pierna
S862,Traumatismo de tendón(es) y músculo(s) del grupo muscular anterior a nivel de la pierna
S863,Traumatismo de tendón(es) y músculo(s) del grupo muscular peroneo a nivel de la pierna
S867,Traumatismo de múltiples tendones y músculos a nivel de la pierna
S868,Traumatismo de otros tendones y músculos a nivel de la pierna
S869,Traumatismo de tendón y músculo no especificado a nivel de la pierna
S850,Traumatismo de la arteria poplítea
S851,Traumatismo de la arteria tibial (anterior) (posterior)
S852,Traumatismo de la arteria peronea
S853,Traumatismo de la gran vena safena a nivel de la pierna
S854,Traumatismo de la vena safena externa a nivel de la pierna
S855,Traumatismo de la vena poplítea
S857,Traumatismo de vasos sanguíneos múltiples a nivel de la pierna
S840,Traumatismo del nervio tibial a nivel de la pierna
S841,Traumatismo del nervio peroneo a nivel de la pierna
S842,Traumatismo del nervio sensorial cutáneo a nivel de la pierna
S847,Traumatismo de nervios múltiples a nivel de la pierna
S848,Traumatismo de otros nervios a nivel de la pierna
S849,Traumatismo de nervio no especificado a nivel de la pierna
B190,Hepatitis viral no especificada con coma
B199,Hepatitis viral no especificada sin coma
K076,Trastornos de la articulación temporomaxilar
K078,Otras anomalías dentofaciales
K079,"Anomalía dentofacial, no especificada"
B180,"Hepatitis viral tipo B crónica, con agente delta"
B181,"Hepatitis viral tipo B crónica, sin agente delta"
B182,Hepatitis viral tipo C crónica
B188,Otras hepatitis virales crónicas
B189,"Hepatitis viral crónica, sin otra especificación"
K315,Obstrucción del duodeno
K316,Fístula del estómago y del duodeno
K317,Pólipo del estómago y del duodeno
K318,Otras enfermedades especificadas del estómago y del duodeno
K319,"Enfermedad del estómago y del duodeno, no especificada"
B170,Infección (superinfección) aguda por agente delta en el portador de hepatitis B
B171,Hepatitis aguda tipo C
B172,Hepatitis aguda tipo E
B178,Otras hepatitis virales agudas especificadas
B160,"Hepatitis aguda tipo B, con agente delta (coinfección), con coma hepático"
B161,"Hepatitis aguda tipo B, con agente delta (coinfección), sin coma hepático"
B162,"Hepatitis aguda tipo B, sin agente delta, con coma hepático"
B169,"Hepatitis aguda tipo B, sin agente delta y sin coma hepático"
B150,"Hepatitis aguda tipo A, con coma hepático"
B159,"Hepatitis aguda tipo A, sin coma hepático"
S997,Traumatismos múltiples del pie y del tobillo
S998,"Otros traumatismos del pie y del tobillo, especificados"
S999,"Traumatismo del pie y del tobillo, no especificado"
S980,Amputación traumática del pie a nivel del tobillo
S981,Amputación traumática de un dedo del pie
S982,Amputación traumática de dos o más dedos del pie
S983,Amputación traumática de otras partes del pie
S984,"Amputación del pie, nivel no especificado"
S970,Traumatismo por aplastamiento del tobillo
S971,Traumatismo por aplastamiento de dedo(s) del pie
S978,Traumatismo por aplastamiento de otras partes del pie y del tobillo
S960,Traumatismo del tendón y músculo del flexor largo del dedo a nivel del pie y del tobillo
S961,Traumatismo del tendón y músculo del extensor largo del (de los) dedo(s) a nivel del pie y del tobillo
S962,Traumatismo de tendones y músculos intrínsecos a nivel del pie y del tobillo
S967,Traumatismo de múltiples tendones y músculos a nivel del pie y del tobillo
S968,Traumatismo de otros tendones y músculos a nivel del pie y del tobillo
S969,Traumatismo de tendones y músculos no especificados a nivel del pie y del tobillo
S950,Traumatismo de la arteria dorsal del pie
S951,Traumatismo de la arteria plantar del pie
S952,Traumatismo de la vena dorsal del pie
S957,Traumatismo de múltiples vasos sanguíneos a nivel del pie y del tobillo
S958,Traumatismo de otros vasos sanguíneos a nivel del pie y del tobillo
S959,Traumatismo de vaso sanguíneo no especificado a nivel del pie y del tobillo
S940,Traumatismo del nervio plantar externo
S941,Traumatismo del nervio plantar interno
S942,Traumatismo del nervio peroneal profundo a nivel del pie y del tobillo
S943,Traumatismo de nervio sensorial cutáneo a nivel del pie y del tobillo
S947,Traumatismo de múltiples nervios a nivel del pie y del tobillo
S948,Traumatismo de otros nervios a nivel del pie y del tobillo
S949,Traumatismo de nervio no especificado a nivel del pie y del tobillo
T060,Traumatismos del encéfalo y de nervios craneales con traumatismo de nervios y médula espinal a nivel del cuello
T061,Traumatismos de nervios y médula espinal que afectan otras múltiples regiones del cuerpo
T062,Traumatismos de nervios que afectan múltiples regiones del cuerpo
T063,Traumatismos de vasos sanguíneos que afectan múltiples regiones del cuerpo
T064,Traumatismos de tendones y músculos que afectan múltiples regiones del cuerpo
T065,Traumatismos de órganos intratorácicos con órganos intraabdominales y pélvicos
T068,Otros traumatismos especificados que afectan múltiples regiones del cuerpo
T050,Amputación traumática de ambas manos
T051,"Amputación traumática de una mano y el otro brazo [cualquier nivel, excepto mano]"
T052,Amputación traumática de ambos brazos [cualquier nivel]
T040,Traumatismos por aplastamiento que afectan la cabeza con el cuello
T030,"Luxaciones, torceduras y esguinces que afectan la cabeza con el cuello"
T020,Fracturas que afectan la cabeza con el cuello
B230,Síndrome de infección aguda debida a VIH
B231,"Enfermedad por VIH, resultante en linfadenopatía generalizada (persistente)"
K628,Otras enfermedades especificadas del ano y del recto
K629,"Enfermedad del ano y del recto, no especificada"
B220,"Enfermedad por VIH, resultante en encefalopatía"
B221,"Enfermedad por VIH, resultante en neumonitis linfoide intersticial"
B222,"Enfermedad por VIH, resultante en síndrome caquéctico"
B227,"Enfermedad por VIH, resultante en enfermedades múltiples clasificadas en otra parte"
B210,"Enfermedad por VIH, resultante en sarcoma de Kaposi"
B211,"Enfermedad por VIH, resultante en linfoma de Burkitt"
B212,"Enfermedad por VIH, resultante en otros tipos de linfoma no Hodgkin"
B213,"Enfermedad por VIH, resultante en otros tumores malignos del tejido linfoide, hematopoyético y tejidos relacionados"
B217,"Enfermedad por VIH, resultante en tumores malignos múltiples"
B218,"Enfermedad por VIH, resultante en otros tumores malignos"
B219,"Enfermedad por VIH, resultante en tumores malignos no especificados"
B200,"Enfermedad por VIH, resultante en infección por micobacterias"
B201,"Enfermedad por VIH, resultante en otras infecciones bacterianas"
B202,"Enfermedad por VIH, resultante en enfermedad por citomegalovirus"
B203,"Enfermedad por VIH, resultante en otras infecciones virales"
B204,"Enfermedad por VIH, resultante en candidiasis"
B205,"Enfermedad por VIH, resultante en otras micosis"
B206,"Enfermedad por VIH, resultante en neumonía por Pneumocystis jirovecii"
B207,"Enfermedad por VIH, resultante en infecciones múltiples"
B208,"Enfermedad por VIH, resultante en otras enfermedades infecciosas o parasitarias"
B209,"Enfermedad por VIH, resultante en enfermedad infecciosa o parasitaria no especificada"
Z130,Examen de pesquisa especial para enfermedades de la sangre y órganos hematopoyéticos y ciertos trastornos del mecanismo de la inmunidad
Z131,Examen de pesquisa especial para diabetes mellitus
Z132,Examen de pesquisa especial para trastornos de la nutrición
Z133,Examen de pesquisa especial para trastornos mentales y del comportamiento
Z134,Examen de pesquisa especial para ciertos trastornos del desarrollo en el niño
Z135,Examen de pesquisa especial para trastornos del ojo y del oído
Z136,Examen de pesquisa especial para trastornos cardiovasculares
Z137,"Examen de pesquisa especial para malformaciones congénitas, deformidades y anomalías cromosómicas"
Z120,Examen de pesquisa especial para tumor de estómago
Z121,Examen de pesquisa especial para tumor del intestino
Z122,Examen de pesquisa especial para tumores de órganos respiratorios
Z123,Examen de pesquisa especial para tumor de la mama
Z124,Examen de pesquisa especial para tumor del cuello uterino
Z125,Examen de pesquisa especial para tumor de la próstata
Z110,Examen de pesquisa especial para enfermedades infecciosas intestinales
Z111,Examen de pesquisa especial para tuberculosis respiratoria
Z112,Examen de pesquisa especial para otras enfermedades bacterianas
Z113,Examen de pesquisa especial para infecciones de transmisión predominantemente sexual
Z114,Examen de pesquisa especial para el virus de la inmunodeficiencia humana [VIH]
Z115,Examen de pesquisa especial para otras enfermedades virales
Z116,Examen de pesquisa especial para otras enfermedades debidas a protozoarios y helmintos
Z118,Examen de pesquisa especial para otras enfermedades infecciosas y parasitarias especificadas
Z119,Examen de pesquisa especial para enfermedades infecciosas y parasitarias no especificadas
Z100,Examen de salud ocupacional
Z101,Control general de salud de rutina de residentes de instituciones
Z102,Control general de salud de rutina a miembros de las fuerzas armadas
Z103,Control general de salud de rutina a integrantes de equipos deportivos
Z108,Otros controles generales de salud de rutina de otras subpoblaciones definidas
Z090,Examen de seguimiento consecutivo a cirugía por otras afecciones
Z091,Examen de seguimiento consecutivo a radioterapia por otras afecciones
Z092,Examen de seguimiento consecutivo a quimioterapia por otras afecciones
Z093,Examen de seguimiento consecutivo a psicoterapia
Z094,Examen de seguimiento consecutivo a tratamiento de fractura
Z290,Aislamiento
Z291,Inmunoterapia profiláctica
Z292,Otra quimioterapia profiláctica
Z298,Otras medidas profiláticas especificadas
Z299,Medida profiláctica no especificada
Z280,Inmunización no realizada por contraindicación
Z281,"Inmunización no realizada por decisión del paciente, por motivos de creencia o presión de grupo"
Z282,"Inmunización no realizada por decisión del paciente, por otras razones y las no especificadas"
Z288,Inmunización no realizada por otras razones
Z289,Inmunización no realizada por razón no especificada
Z270,Necesidad de inmunización contra el cólera y la tifoidea–paratifoidea [cólera + TAB]
Z271,Necesidad de inmunización contra difteria–pertussis–tétanos combinados [DPT]
Z272,Necesidad de inmunización contra difteria–pertussis–tétanos y tifoidea–paratifoidea [DPT + TAB]
Z273,Necesidad de inmunización contra difteria–pertussis–tétanos y poliomielitis [DPT + polio]
Z274,Necesidad de inmunización contra sarampión–parotiditis–rubéola [SPR] [MMR]
Z278,Necesidad de inmunización contra otras combinaciones de enfermedades infecciosas
Z279,Necesidad de inmunización contra combinaciones no especificadas de enfermedades infecciosas
Z260,Necesidad de inmunización contra la leishmaniasis
Z268,Necesidad de inmunización contra otras enfermedades infecciosas únicas especificadas
Z269,Necesidad de inmunización contra enfermedad infecciosa no especificada
Z250,Necesidad de inmunización sólo contra la parotiditis
Z251,Necesidad de inmunización contra la influenza [gripe]
Z258,Necesidad de inmunización contra otras enfermedades virales únicas especificadas
Z240,Necesidad de inmunización contra la poliomielitis
Z241,Necesidad de inmunización contra la encefalitis viral transmitida por artrópodos
Z242,Necesidad de inmunización contra la rabia
Z243,Necesidad de inmunización contra la fiebre amarilla
Z244,Necesidad de inmunización sólo contra el sarampión
Z245,Necesidad de inmunización sólo contra la rubéola
Z246,Necesidad de inmunización contra la hepatitis viral
Z230,Necesidad de inmunización sólo contra el cólera
Z231,Necesidad de inmunización sólo contra la tifoidea–paratifoidea [TAB]
Z232,Necesidad de inmunización contra la tuberculosis [BCG]
Z233,Necesidad de inmunización contra la peste
Z234,Necesidad de inmunización contra la tularemia
Z235,Necesidad de inmunización sólo contra el tétanos
Z236,Necesidad de inmunización sólo contra la difteria
Z237,Necesidad de inmunización sólo contra la tos ferina
Z238,Necesidad de inmunización sólo contra otra enfermedad bacteriana
Z390,Atención y examen inmediatamente después del parto
Z391,Atención y examen de madre en período de lactancia
Z392,"Seguimiento postparto, de rutina"
Z380,"Producto único, nacido en hospital"
Z381,"Producto único, nacido fuera de hospital"
Z382,"Producto único, lugar de nacimiento no especificado"
Z383,"Gemelos, nacidos en hospital"
Z384,"Gemelos, nacidos fuera de hospital"
Z385,"Gemelos, lugar de nacimiento no especificado"
Z386,"Otros nacimientos múltiples, en hospital"
Z370,"Nacido vivo, único"
Z371,"Nacido muerto, único"
Z372,"Gemelos, ambos nacidos vivos"
Z373,"Gemelos, un nacido vivo y un nacido muerto"
Z374,"Gemelos, ambos nacidos muertos"
Z375,"Otros nacimientos múltiples, todos nacidos vivos"
Z376,"Otros nacimientos múltiples, algunos nacidos vivos"
Z377,"Otros nacimientos múltiples, todos nacidos muertos"
Z360,Pesquisa prenatal para anomalías cromosómicas
Z361,Pesquisa prenatal para medir niveles elevados de alfafetoproteínas
Z362,Otras pesquisas prenatales basadas en amniocentesis
Z363,Pesquisa prenatal de malformaciones usando ultrasonido y otros métodos físicos
Z364,Pesquisa prenatal del retardo del crecimiento fetal usando ultrasonido y otros métodos físicos
Z365,Pesquisa prenatal para isoinmunización
Z368,Otras pesquisas prenatales específicas
Z350,Supervisión de embarazo con historia de esterilidad
Z351,Supervisión de embarazo con historia de aborto
Z352,Supervisión de embarazo con otro riesgo en la historia obstétrica o reproductiva
Z353,Supervisión de embarazo con historia de insuficiente atención prenatal
Z354,Supervisión de embarazo con gran multiparidad
Z355,Supervisión de primigesta añosa
Z356,Supervisión de primigesta muy joven
Z357,Supervisión de embarazo de alto riesgo debido a problemas sociales
B360,Pitiriasis versicolor
B361,Tiña negra
B362,Piedra blanca
B363,Piedra negra
B368,Otras micosis superficiales especificadas
B369,"Micosis superficial, sin otra especificación"
B350,Tiña de la barba y del cuero cabelludo
B351,Tiña de las uñas
B352,Tiña de la mano
B353,Tiña del pie [Tinea pedis]
B354,Tiña del cuerpo [Tinea corporis]
B355,Tiña imbricada [Tinea imbricata]
B356,Tiña inguinal [Tinea cruris]
B358,Otras dermatofitosis
B359,"Dermatofitosis, no especificada"
B530,Paludismo debido a Plasmodium ovale
B531,Paludismo debido a plasmodios de los simios
B538,"Otro paludismo confirmado parasitológicamente, no clasificado en otra parte"
B520,Paludismo debido a Plasmodium malariae con nefropatía
B528,Paludismo debido a Plasmodium malariae con otras complicaciones
B529,"Paludismo debido a Plasmodium malariae, sin complicaciones"
B510,Paludismo debido a Plasmodium vivax con ruptura esplénica
B518,Paludismo debido a Plasmodium vivax con otras
B519,"Paludismo debido a Plasmodium vivax, sin complicaciones"
B500,Paludismo debido a Plasmodium falciparum con complicaciones cerebrales
B508,Otro paludismo grave y complicado debido a Plasmodium falciparum
B509,"Paludismo debido a Plasmodium falciparum, sin otra especificación"
B680,Teniasis debida a Taenia solium
B681,Infección debida a Taenia saginata
B689,"Teniasis, no especificada"
B670,Infección del hígado debida a Echinococcus granulosus
B671,Infección del pulmón debida a Echinococcus granulosus
B672,Infección de hueso debida a Echinococcus granulosus
B673,Infección de otro órgano y de sitios múltiples debida a Echinococcus granulosus
B674,"Infección debida a Echinococcus granulosus, sin otra especificación"
B675,Infección del hígado debida a Echinococcus multilocularis
B676,Infección de otro órgano y de sitios múltiples debida a Echinococcus multilocularis
B677,"Infección debida a Echinococcus multilocularis, sin otra especificación"
B678,"Equinococosis del hígado, no especificada"
B679,"Equinococosis, otra y la no especificada"
B660,Opistorquiasis
B661,Clonorquiasis
B662,Dicrocoeliasis
B663,Fascioliasis
B664,Paragonimiasis
B665,Fasciolopsiasis
B668,Otras infecciones especificadas debidas a trematodos
B669,"Infección debida a trematodos, no especificada"
B650,Esquistosomiasis debida a Schistosoma haematobium
B651,Esquistosomiasis debida a Schistosoma mansoni [esquistosomiasis intestinal]
B652,Esquistosomiasis debida a Schistosoma japonicum
B653,Dermatitis por cercarias
B658,Otras esquistosomiasis
B659,"Esquistosomiasis, no especificada"
B880,Otras acariasis
B881,Tungiasis [infección debida a pulga de arena]
B882,Otras infestaciones debidas a artrópodos
B883,Hirudiniasis externa
B888,Otras infestaciones especificadas
B889,"Infestación, no especificada"
B870,Miasis cutánea
B871,Miasis en heridas
B872,Miasis ocular
B873,Miasis nasofaríngea
B874,Miasis aural
B850,Pediculosis debida a Pediculus humanus capitis
B851,Pediculosis debida a Pediculus humanus corporis
B852,"Pediculosis, sin otra especificación"
B853,Phthiriasis
B854,Pediculosis y phthiriasis mixtas
B940,Secuelas de tracoma
B941,Secuelas de encefalitis viral
B942,Secuelas de hepatitis viral
B900,Secuelas de tuberculosis del sistema nervioso central
B901,Secuelas de tuberculosis genitourinaria
B902,Secuelas de tuberculosis de huesos y articulaciones
B908,Secuelas de tuberculosis de otros órganos especificados
B970,Adenovirus como causa de enfermedades clasificadas en otros capítulos
B971,Enterovirus como causa de enfermedades clasificadas en otros capítulos
B972,Coronavirus como causa de enfermedades clasificadas en otros capítulos
B973,Retrovirus como causa de enfermedades clasificadas en otros capítulos
B960,Mycoplasma pneumoniae [M. pneumoniae] como causa de enfermedades clasificadas en otros capítulos
B961,Klebsiella pneumoniae [K. pneumoniae] como causa de enfermedades clasificadas en otros capítulos
B962,Escherichia coli [E. coli] como causa de enfermedades clasificadas en otros capítulos
B963,Haemophilus influenzae [H. influenzae] como causa de enfermedades clasificadas en otros capítulos
B964,Proteus (mirabilis) (morganii) como causa de enfermedades clasificadas en otros capítulos
B950,"Estreptococo, grupo A, como causa de enfermedades clasificadas en otros capítulos"
B951,"Estreptococo, grupo B, como causa de enfermedades clasificadas en otros capítulos"
B952,"Estreptococo, grupo D, como causa de enfermedades clasificadas en otros capítulos"
B953,Streptococcus pneumoniae como causa de enfermedades clasificadas en otros capítulos
B954,Otros estreptococos como causa de enfermedades clasificadas en otros capítulos
M990,Disfunción segmental o somática
M991,Complejo de subluxación (vertebral)
M992,Subluxación con estenosis del canal neural
M993,Estenosis ósea del canal neural
M994,Estenosis del canal neural por tejido conjuntivo
M995,Estenosis del canal neural por disco intervertebral
M960,Seudoartrosis consecutiva a fusión o artrodesis
M961,"Síndrome postlaminectomía, no clasificado en otra parte"
M962,Cifosis postradiación
M963,Cifosis postlaminectomía
M964,Lordosis postquirúrgica
M965,Escoliosis postradiación
M950,Deformidad adquirida de la nariz
M951,Oreja en coliflor
M952,Otras deformidades adquiridas de la cabeza
M953,Deformidad adquirida del cuello
M954,Deformidad adquirida de costillas y tórax
L540,Eritema marginado en la fiebre reumática aguda (I00)
L548,Eritema en otras enfermedades clasificadas en otra parte
L530,Eritema tóxico
L531,Eritema anular centrífugo
L532,Eritema marginado
L533,Otros eritemas figurados crónicos
L538,Otras afecciones eritematosas especificadas
L539,"Afección eritematosa, no especificada"
L510,Eritema multiforme no flictenular
L511,Eritema multiforme flictenular
L512,Necrólisis epidérmica tóxica [Lyell]
L518,Otros eritemas multiformes
L519,"Eritema multiforme, no especificado"
L500,Urticaria alérgica
L501,Urticaria idiopática
L502,Urticaria debida al calor y al frío
L503,Urticaria dermatográfica
L504,Urticaria vibratoria
L505,Urticaria colinérgica
L506,Urticaria por contacto
L508,Otras urticarias
L509,"Urticaria, no especificada"
L590,Eritema ab igne [dermatitis ab igne]
L598,Otros trastornos especificados de la piel y del tejido subcutáneo relacionados con radiación
L599,Trastornos no especificados de la piel y del tejido subcutáneo relacionados con radiación
L580,Radiodermatitis aguda
L581,Radiodermatitis crónica
L589,"Radiodermatitis, no especificada"
L570,Queratosis actínica
L571,Reticuloide actínico
L572,Piel romboidal de la nuca
L573,Poiquilodermia de Civatte
L574,Piel laxa senil
L575,Granuloma actínico
L578,Otros cambios de la piel debidos a exposición crónica a radiación no ionizante
L579,"Cambios de la piel debidos a exposición crónica a radiación no ionizante, sin otra especificación"
L560,Respuesta fototóxica a drogas
L561,Respuesta fotoalérgica a drogas
L562,Dermatitis por fotocontacto [dermatitis de berloque]
L563,Urticaria solar
L564,Erupción polimorfa a la luz
L568,Otros cambios agudos especificados de la piel debidos a radiación ultravioleta
L569,"Cambio agudo de la piel debido a radiación ultravioleta, sin otra especificación"
L550,Quemadura solar de primer grado
L551,Quemadura solar de segundo grado
L552,Quemadura solar de tercer grado
L558,Otras quemaduras solares
L630,Alopecia (capitis) total
L631,Alopecia universal
L632,Ofiasis
L638,Otras alopecias areatas
L639,"Alopecia areata, no especificada"
L620,Uña deforme de la paquidermoperiostosis (M89.4)
L628,Trastornos de las uñas en otras enfermedades clasificadas en otra parte
L600,Uña encarnada
L601,Onicólisis
L602,Onicogriposis
L603,Distrofia ungueal
L604,Líneas de Beau
L605,Síndrome de la uña amarilla
L608,Otros trastornos de las uñas
L609,"Trastorno de la uña, no especificado"
L810,Hiperpigmentación postinflamatoria
L811,Cloasma
L812,Efélide
L813,Manchas café con leche
L814,Otros tipos de hiperpigmentación melanodérmica
K670,Peritonitis por clamidias (A74.8)
K671,Peritonitis gonocócica (A54.8)
K672,Peritonitis sifilítica (A52.7)
K673,Peritonitis tuberculosa (A18.3)
K678,Otros trastornos del peritoneo en enfermedades infecciosas clasificadas en otra parte
K660,Adherencias peritoneales
K661,Hemoperitoneo
K668,Otros trastornos especificados del peritoneo
K669,"Trastorno del peritoneo, no especificado"
K650,Peritonitis aguda
K658,Otras peritonitis
K659,"Peritonitis, no especificada"
K760,"Degeneración grasa del hígado, no clasificada en otra parte"
K761,Congestión pasiva crónica del hígado
K762,Necrosis hemorrágica central del hígado
K763,Infarto del hígado
K764,Peliosis hepática
K765,Enfermedad veno–oclusiva del hígado
K766,Hipertensión portal
K767,Síndrome hepatorrenal
K768,Otras enfermedades especificadas del hígado
K769,"Enfermedad del hígado, no especificada"
K750,Absceso del hígado
K751,Flebitis de la vena porta
K752,Hepatitis reactiva no específica
K753,"Hepatitis granulomatosa, no clasificada en otra parte"
K754,Hepatitis autoinmune
K758,"Otras enfermedades inflamatorias del hígado, especificadas"
K759,"Enfermedad inflamatoria del hígado, no especificada"
K740,Fibrosis hepática
K741,Esclerosis hepática
K742,Fibrosis hepática con esclerosis hepática
K743,Cirrosis biliar primaria
K744,Cirrosis biliar secundaria
K745,"Cirrosis biliar, no especificada"
K746,Otras cirrosis del hígado y las no especificadas
K730,"Hepatitis crónica persistente, no clasificada en otra parte"
K731,"Hepatitis crónica lobular, no clasificada en otra parte"
